Barcode,Source,Saved
10002,無效條碼,未儲存
10003,無效條碼,未儲存
4547274043587,已存在,已儲存
4548387462579,已存在,已儲存
4548387462722,已存在,已儲存
4548387467161,已存在,已儲存
4549660262459,已存在,已儲存
4549660963875,已存在,已儲存
4548387467208,已存在,已儲存
4550432130395,已存在,已儲存
4550432140608,已存在,已儲存
1926341012009,未找到,未儲存
4550337961421,未找到,未儲存
4570085458349,未找到,未儲存
4550337961995,未找到,未儲存
4570085454419,未找到,未儲存
4570085458332,未找到,未儲存
4570085458356,未找到,未儲存
4549660878773,未找到,未儲存
4570085454617,未找到,未儲存
4570085461080,未找到,未儲存
4570085454518,未找到,未儲存
4582547933585,已存在,已儲存
4582547933592,已存在,已儲存
4582547933660,已存在,已儲存
4582547933714,已存在,已儲存
4582547933738,已存在,已儲存
4582662969735,已存在,已儲存
4582662970298,已存在,已儲存
4582662977006,已存在,已儲存
4582662978027,已存在,已儲存
4582662985285,已存在,已儲存
4589468443322,已存在,已儲存
4901082059770,已存在,已儲存
4901770719801,已存在,已儲存
4570085468553,未找到,未儲存
4570085465545,未找到,未儲存
4570117911514,未找到,未儲存
4570117974939,未找到,未儲存
4582365237926,未找到,未儲存
4570117910920,未找到,未儲存
4902462007527,未找到,未儲存
4570085458363,未找到,未儲存
4570189184601,未找到,未儲存
4570085468560,未找到,未儲存
4966680248612,已存在,已儲存
4970093800039,已存在,已儲存
4970093800046,已存在,已儲存
4970381478872,已存在,已儲存
4970381485573,已存在,已儲存
4970381488857,已存在,已儲存
4970381497538,已存在,已儲存
4970381497583,已存在,已儲存
4970381497606,已存在,已儲存
4970381498344,已存在,已儲存
4570117911910,未找到,未儲存
4970825141867,已存在,已儲存
4974475914635,已存在,已儲存
4974475918435,已存在,已儲存
4977444265516,已存在,已儲存
4977444265523,已存在,已儲存
4977444265530,已存在,已儲存
4977444265547,已存在,已儲存
4977524129387,已存在,已儲存
4979274631998,已存在,已儲存
4979274923659,已存在,已儲存
4979274923857,已存在,已儲存
4979274954608,已存在,已儲存
4979274954646,已存在,已儲存
4979274954653,已存在,已儲存
4513750085556,已存在,已儲存
4513750096248,已存在,已儲存
4513750119336,已存在,已儲存
4549660894261,已存在,已儲存
4902715758206,未找到,未儲存
4902757130206,未找到,未儲存
4902820125030,未找到,未儲存
4582662984431,已存在,已儲存
4582662984455,已存在,已儲存
4582662984462,已存在,已儲存
4902820129090,未找到,未儲存
4902820129083,未找到,未儲存
4905083110812,未找到,未儲存
4987910002019,未找到,未儲存
4970381657031,未找到,未儲存
4995027122896,未找到,未儲存
4987910002972,未找到,未儲存
4582662908413,已存在,已儲存
4582662982970,已存在,已儲存
4582662983021,已存在,已儲存
4582662984448,已存在,已儲存
4589468439264,已存在,已儲存
4589468439301,已存在,已儲存
4589468439332,已存在,已儲存
4970381498139,已存在,已儲存
4970381499662,已存在,已儲存
4970381627768,已存在,已儲存
4970381627775,已存在,已儲存
4970825141829,已存在,已儲存
4970825141874,已存在,已儲存
4977524163473,已存在,已儲存
10005,無效條碼,未儲存
10006,無效條碼,未儲存
10007,無效條碼,未儲存
10008,無效條碼,未儲存
10009,無效條碼,未儲存
10010,無效條碼,未儲存
10011,無效條碼,未儲存
4550337596111,已存在,已儲存
4513750119725,未找到,未儲存
4570085454426,未找到,未儲存
4902820123142,未找到,未儲存
4580074572925,已存在,已儲存
4580561053487,已存在,已儲存
4582662906532,已存在,已儲存
4582662907966,已存在,已儲存
4582662908192,已存在,已儲存
4582662908208,已存在,已儲存
4582662908253,已存在,已儲存
4582662908284,已存在,已儲存
4582662908741,已存在,已儲存
4582662908765,已存在,已儲存
4582662908796,已存在,已儲存
4570117910166,未找到,未儲存
4582662943896,已存在,已儲存
4582662943902,已存在,已儲存
4582662943940,已存在,已儲存
4582662964587,已存在,已儲存
4582662964594,已存在,已儲存
4582662964600,已存在,已儲存
4582662964617,已存在,已儲存
4582662964648,已存在,已儲存
4582662964655,已存在,已儲存
4582662982987,已存在,已儲存
4582662983236,已存在,已儲存
4570085454624,未找到,未儲存
4513750119640,未找到,未儲存
4582662988484,已存在,已儲存
4582664151039,已存在,已儲存
4582698661146,已存在,已儲存
4589468438533,已存在,已儲存
4570085461523,未找到,未儲存
4570085469413,未找到,未儲存
4582662915039,未找到,未儲存
4979274677262,已存在,已儲存
4984152212374,已存在,已儲存
4994209030011,已存在,已儲存
4994209030165,已存在,已儲存
4582662915091,未找到,未儲存
4580074572918,已存在,已儲存
4582662908215,已存在,已儲存
4582662908246,已存在,已儲存
4582662908680,已存在,已儲存
4582662908697,已存在,已儲存
4582662964624,已存在,已儲存
4582662964631,已存在,已儲存
4582664151688,已存在,已儲存
4582664151695,已存在,已儲存
10012,無效條碼,未儲存
10013,無效條碼,未儲存
10014,無效條碼,未儲存
10015,無效條碼,未儲存
10016,無效條碼,未儲存
10017,無效條碼,未儲存
10018,無效條碼,未儲存
10019,無效條碼,未儲存
10020,無效條碼,未儲存
10021,無效條碼,未儲存
10022,無效條碼,未儲存
10023,無效條碼,未儲存
10024,無效條碼,未儲存
10025,無效條碼,未儲存
10026,無效條碼,未儲存
10027,無效條碼,未儲存
10028,無效條碼,未儲存
10034,無效條碼,未儲存
4589468448914,未找到,未儲存
4589468448907,未找到,未儲存
4589468448921,未找到,未儲存
4589928245916,未找到,未儲存
4513750119602,未找到,未儲存
4582662907027,未找到,未儲存
4589928245909,未找到,未儲存
4974475935630,已存在,已儲存
4974475935739,已存在,已儲存
4582487082626,已存在,已儲存
4582662908444,已存在,已儲存
4582662908611,已存在,已儲存
4589928245893,未找到,未儲存
4545784068922,未找到,未儲存
4545784068915,未找到,未儲存
4570085477036,未找到,未儲存
4545784068908,未找到,未儲存
4582662940093,已存在,已儲存
4582662940109,已存在,已儲存
4582662942813,已存在,已儲存
4582662946774,已存在,已儲存
4582662970120,已存在,已儲存
4582662975200,已存在,已儲存
4582664151671,已存在,已儲存
4582662908130,已存在,已儲存
4582664151794,已存在,已儲存
4994209082119,已存在,已儲存
10073,無效條碼,未儲存
10074,無效條碼,未儲存
10075,無效條碼,未儲存
10076,無效條碼,未儲存
10077,無效條碼,未儲存
10078,無效條碼,未儲存
10079,無效條碼,未儲存
4550213536163,已存在,已儲存
4550213536170,已存在,已儲存
4550213536187,已存在,已儲存
4550213539782,已存在,已儲存
4550213539799,已存在,已儲存
4550213539805,已存在,已儲存
4550213539812,已存在,已儲存
4550213539829,已存在,已儲存
4550213539836,已存在,已儲存
4550213539843,已存在,已儲存
4550213539850,已存在,已儲存
4550213539867,已存在,已儲存
4550213543574,已存在,已儲存
4550213543581,已存在,已儲存
4550213543598,已存在,已儲存
4550213545943,已存在,已儲存
4550213545950,已存在,已儲存
4550213545967,已存在,已儲存
4550213545974,已存在,已儲存
4550213545981,已存在,已儲存
4550213546803,已存在,已儲存
4550213546810,已存在,已儲存
4550213546827,已存在,已儲存
4550213546834,已存在,已儲存
4550213546841,已存在,已儲存
4550213546858,已存在,已儲存
4550213546865,已存在,已儲存
4550213546872,已存在,已儲存
4550213546889,已存在,已儲存
4550213546933,已存在,已儲存
4550213546940,已存在,已儲存
4550213546957,已存在,已儲存
4550213546964,已存在,已儲存
4550213546971,已存在,已儲存
4550213551210,已存在,已儲存
4582662905672,已存在,已儲存
4582662906327,已存在,已儲存
4582662906334,已存在,已儲存
4582662906341,已存在,已儲存
4582662906358,已存在,已儲存
4582662906365,已存在,已儲存
4582662906372,已存在,已儲存
4582662906389,已存在,已儲存
4582662917828,已存在,已儲存
4582662917842,已存在,已儲存
4582662917903,已存在,已儲存
4582662919921,已存在,已儲存
4582662943933,已存在,已儲存
4582662977082,已存在,已儲存
4570085477043,未找到,未儲存
4977629654197,未找到,未儲存
4977629653817,未找到,未儲存
4977629654180,未找到,未儲存
4979607010117,已存在,已儲存
4550337595237,已存在,已儲存
4550337595442,已存在,已儲存
4573256426994,已存在,已儲存
4573256427007,已存在,已儲存
4582662905184,已存在,已儲存
4582662905276,已存在,已儲存
4582662943957,已存在,已儲存
4582662943964,已存在,已儲存
4582662943971,已存在,已儲存
4582662979710,已存在,已儲存
4582662979734,已存在,已儲存
4901771316665,已存在,已儲存
4977629654234,未找到,未儲存
4977524489320,已存在,已儲存
4977524489337,已存在,已儲存
4977524489344,已存在,已儲存
4977524489351,已存在,已儲存
4582662987661,未找到,未儲存
4977629654203,未找到,未儲存
4570085469499,未找到,未儲存
4903443023420,未找到,未儲存
4970381657314,未找到,未儲存
4582662969773,已存在,已儲存
4582662908468,已存在,已儲存
4582662908628,已存在,已儲存
4548387467185,已存在,已儲存
4570085469505,未找到,未儲存
10080,無效條碼,未儲存
10081,無效條碼,未儲存
10082,無效條碼,未儲存
10084,無效條碼,未儲存
4549660981596,未找到,未儲存
4582662943919,已存在,已儲存
4573256429827,已存在,已儲存
4582487082817,已存在,已儲存
4582487082824,已存在,已儲存
4582487082831,已存在,已儲存
4970381499693,已存在,已儲存
4970381669706,未找到,未儲存
4995027138279,未找到,未儲存
4995027088154,未找到,未儲存
4570085469512,未找到,未儲存
4903301357964,未找到,未儲存
4995027138286,未找到,未儲存
4902820120530,未找到,未儲存
4582662949546,已存在,已儲存
4582662949553,已存在,已儲存
4582662975309,已存在,已儲存
4582662975316,已存在,已儲存
4582662975323,已存在,已儲存
4970381478858,已存在,已儲存
4570085466887,未找到,未儲存
4582662905832,未找到,未儲存
4570085466658,未找到,未儲存
4549660959403,未找到,未儲存
4570085473236,未找到,未儲存
10049,無效條碼,未儲存
4547855322957,已存在,已儲存
4570085475490,已存在,已儲存
4570085475506,已存在,已儲存
4570085466672,未找到,未儲存
4573256427021,已存在,已儲存
4570085473250,未找到,未儲存
4573256427038,已存在,已儲存
4573256427045,已存在,已儲存
4582662946828,已存在,已儲存
4582662949461,已存在,已儲存
4582662975330,已存在,已儲存
4582662975347,已存在,已儲存
4582662975354,已存在,已儲存
4901770712260,已存在,已儲存
4994209125403,已存在,已儲存
4994209125427,已存在,已儲存
8809822972203,未找到,未儲存
10097,無效條碼,未儲存
4537988031079,已存在,已儲存
4537988031086,已存在,已儲存
4974475933438,已存在,已儲存
4974475933537,已存在,已儲存
4974475933636,已存在,已儲存
4974475933735,已存在,已儲存
4570085473243,未找到,未儲存
8809822972210,未找到,未儲存
4570117910883,未找到,未儲存
4977629654210,未找到,未儲存
8809940840002,未找到,未儲存
4970381488871,已存在,已儲存
10098,無效條碼,未儲存
10099,無效條碼,未儲存
10100,無效條碼,未儲存
4560103149823,已存在,已儲存
4560103149830,已存在,已儲存
4970381488864,已存在,已儲存
4973307655371,已存在,已儲存
10101,無效條碼,未儲存
10102,無效條碼,未儲存
10103,無效條碼,未儲存
10104,無效條碼,未儲存
10105,無效條碼,未儲存
10106,無效條碼,未儲存
10112,無效條碼,未儲存
10113,無效條碼,未儲存
4560103149847,已存在,已儲存
4580074579757,已存在,已儲存
4580074579764,已存在,已儲存
4580074579818,已存在,已儲存
4580074579849,已存在,已儲存
4580074579856,已存在,已儲存
4580074579894,已存在,已儲存
4580784952840,已存在,已儲存
4580784952857,已存在,已儲存
4580784952864,已存在,已儲存
4580784952871,已存在,已儲存
4580784954165,已存在,已儲存
4582526800600,已存在,已儲存
4582526800723,已存在,已儲存
4582662908352,已存在,已儲存
4582662913387,已存在,已儲存
4582662913394,已存在,已儲存
4582662913400,已存在,已儲存
4582662913417,已存在,已儲存
4582662913424,已存在,已儲存
4582662913431,已存在,已儲存
4582662913448,已存在,已儲存
4582662913455,已存在,已儲存
4582662913462,已存在,已儲存
4582662913479,已存在,已儲存
4582662920323,已存在,已儲存
4582662920354,已存在,已儲存
4582662920385,已存在,已儲存
4582662920392,已存在,已儲存
4582662920408,已存在,已儲存
4582662920415,已存在,已儲存
4582662920422,已存在,已儲存
4582662920439,已存在,已儲存
4582662920446,已存在,已儲存
4582662921849,已存在,已儲存
4582664144451,已存在,已儲存
4582664144468,已存在,已儲存
4582664144482,已存在,已儲存
4582664144499,已存在,已儲存
4589468458845,已存在,已儲存
4589468458852,已存在,已儲存
4589468458869,已存在,已儲存
4589468458876,已存在,已儲存
4589468458883,已存在,已儲存
4589468458890,已存在,已儲存
4589468458906,已存在,已儲存
4589468458913,已存在,已儲存
4589468458920,已存在,已儲存
4589468458937,已存在,已儲存
4589468458944,已存在,已儲存
4589468458951,已存在,已儲存
4589468458968,已存在,已儲存
4589468458975,已存在,已儲存
4589468458982,已存在,已儲存
4589468458999,已存在,已儲存
4589468459002,已存在,已儲存
4589468459019,已存在,已儲存
4589468459026,已存在,已儲存
4589468459033,已存在,已儲存
4589468459040,已存在,已儲存
4589468459057,已存在,已儲存
